id,eventType,eventId,eventName,iconPath,param%1,param%2,param%3,param%4,param%5,args,extra,desc,
1,1,1001,s==9|Chiến Đấu,,28505,50101,,290000,,,,s==127|Nơi này bị địch nhân chiếm cứ， đánh bại bọn chúng mới có thể qua được nơi này。 Chiến thắng sau có thể thu hoạch chiến lợi phẩm。,
2,2,2001,s==9|Rương báu,s==8|icon_box,,,,,,,,,
3,3,3001,s==42|Vật phẩm sự kiện trống - Chướng ngại đường,s==12|icon_antler3,,,,,,,,,
4,3,3002,s==36|Vật phẩm sự kiện trống - Thành ngang,s==16|icon_wall_bottom,,,,,,,,,
5,4,4001,s==34|Cánh cửa lam thẫm có thể tương tác,s==9|icon_door,,,,,,,,,
6,4,4002,s==28|Cánh cửa đỏ có thể tương tác,s==10|icon_door1,,,,,,,,,
7,4,4003,s==34|Cánh cửa lam nhạt có thể tương tác,s==10|icon_door2,,,,,,,,,
8,5,5001,s==41|Chọn cửa trái - chuyển sang cửa giữa phải,,,,,,,s==9|35|1,37|1,,,
9,5,5002,s==41|Chọn cửa giữa - chuyển sang cửa trái phải,,,,,,,s==9|33|1,37|1,,,
10,5,5003,s==41|Chọn cửa phải - chuyển sang cửa trái giữa,,,,,,,s==9|33|1,35|1,,,
