id,unionLv,stage,firstClearReward-type-1,firstClearReward-id-1,firstClearReward-value-1,firstClearReward-type-2,firstClearReward-id-2,firstClearReward-value-2,clearReward-type-1,clearReward-id-1,clearReward-value-1,clearReward-type-2,clearReward-id-2,clearReward-value-2,clearReward-type-3,clearReward-id-3,clearReward-value-3,
1,1,10,1,9,500,1,17,300,1,9,350,,,,,,,
2,2,10,1,9,500,1,17,300,1,9,350,,,,,,,
3,3,10,1,9,500,1,17,300,1,9,350,,,,,,,
4,4,10,1,9,500,1,17,300,1,9,350,,,,,,,
5,5,10,1,9,500,1,17,300,1,9,350,,,,,,,
6,6,10,1,9,500,1,17,300,1,9,350,,,,,,,
7,7,10,1,9,500,1,17,300,1,9,350,,,,,,,
8,8,10,1,9,500,1,17,300,1,9,350,,,,,,,
9,9,10,1,9,500,1,17,300,1,9,350,,,,,,,
10,10,10,1,9,500,1,17,300,1,9,350,,,,,,,
11,11,10,1,9,500,1,17,300,1,9,350,,,,,,,
12,12,10,1,9,500,1,17,300,1,9,350,,,,,,,
13,13,10,1,9,500,1,17,300,1,9,350,,,,,,,
14,14,10,1,9,500,1,17,300,1,9,350,,,,,,,
15,15,10,1,9,500,1,17,300,1,9,350,,,,,,,
16,16,11,1,9,700,1,17,300,1,9,500,,,,,,,
17,17,11,1,9,700,1,17,300,1,9,500,,,,,,,
18,18,11,1,9,700,1,17,300,1,9,500,,,,,,,
19,19,11,1,9,700,1,17,300,1,9,500,,,,,,,
20,20,12,1,9,700,1,17,300,1,9,500,,,,,,,
21,21,12,1,9,700,1,17,700,1,9,500,,,,,,,
22,22,12,1,9,700,1,17,700,1,9,500,,,,,,,
23,23,12,1,9,700,1,17,700,1,9,500,,,,,,,
24,24,13,1,9,700,1,17,700,1,9,500,,,,,,,
25,25,13,1,9,700,1,17,700,1,9,500,,,,,,,
26,26,13,1,9,700,1,17,700,1,9,500,,,,,,,
27,27,13,1,9,700,1,17,700,1,9,500,,,,,,,
28,28,14,1,9,700,1,17,700,1,9,500,,,,,,,
29,29,14,1,9,700,1,17,700,1,9,500,,,,,,,
30,30,14,1,9,700,1,17,700,1,9,500,,,,,,,
31,31,14,1,9,700,1,17,700,1,9,500,,,,,,,
32,32,15,1,9,900,1,17,700,1,9,700,,,,,,,
33,33,15,1,9,900,1,17,700,1,9,700,,,,,,,
34,34,15,1,9,900,1,17,700,1,9,700,,,,,,,
35,35,15,1,9,900,1,17,700,1,9,700,,,,,,,
36,36,16,1,9,900,1,17,700,1,9,700,,,,,,,
37,37,16,1,9,900,1,17,1400,1,9,700,,,,,,,
38,38,16,1,9,900,1,17,1400,1,9,700,,,,,,,
39,39,16,1,9,900,1,17,1400,1,9,700,,,,,,,
40,40,17,1,9,900,1,17,1400,1,9,700,,,,,,,
41,41,17,1,9,900,1,17,1400,1,9,700,,,,,,,
42,42,17,1,9,900,1,17,1400,1,9,700,,,,,,,
43,43,17,1,9,900,1,17,1400,1,9,700,,,,,,,
44,44,18,1,9,900,1,17,1400,1,9,700,,,,,,,
45,45,18,1,9,900,1,17,1400,1,9,700,,,,,,,
46,46,18,1,9,1000,1,17,1400,1,9,800,,,,,,,
47,47,18,1,9,1000,1,17,1400,1,9,800,,,,,,,
48,48,19,1,9,1000,1,17,1400,1,9,800,,,,,,,
49,49,19,1,9,1000,1,17,1400,1,9,800,,,,,,,
50,50,19,1,9,1000,1,17,1400,1,9,800,,,,,,,
51,51,19,1,9,1000,1,17,1400,1,9,800,,,,,,,
52,52,20,1,9,1000,1,17,1400,1,9,800,,,,,,,
53,53,20,1,9,1000,1,17,1400,1,9,800,,,,,,,
54,54,20,1,9,1000,1,17,1400,1,9,800,,,,,,,
55,55,20,1,9,1000,1,17,1400,1,9,800,,,,,,,
56,56,20,1,9,1000,1,17,1400,1,9,800,,,,,,,
57,57,20,1,9,1000,1,17,1400,1,9,800,,,,,,,
58,58,20,1,9,1000,1,17,1400,1,9,800,,,,,,,
59,59,20,1,9,1000,1,17,1400,1,9,800,,,,,,,
60,60,20,1,9,1000,1,17,1400,1,9,800,,,,,,,
