id,tecPlace,lightenNum,tecLevel,consumes-type-1,consumes-id-1,consumes-value-1,consumes-type-2,consumes-id-2,consumes-value-2,
1,1,0,1,1,8,3600,1,17,6,
2,1,1,2,1,8,10000,1,17,18,
3,1,2,3,1,8,10000,1,17,30,
4,1,3,4,1,8,20000,1,17,42,
5,1,4,5,1,8,30000,1,17,54,
6,1,5,6,1,8,30000,1,17,66,
7,1,6,7,1,8,40000,1,17,78,
8,1,7,8,1,8,50000,1,17,90,
9,1,8,9,1,8,60000,1,17,102,
10,1,9,10,1,8,70000,1,17,114,
11,1,10,11,1,8,80000,1,17,126,
12,1,11,12,1,8,90000,1,17,138,
13,1,12,13,1,8,100000,1,17,150,
14,1,13,14,1,8,110000,1,17,162,
15,1,14,15,1,8,120000,1,17,174,
16,1,15,16,1,8,130000,1,17,186,
17,1,16,17,1,8,140000,1,17,198,
18,1,17,18,1,8,150000,1,17,210,
19,1,18,19,1,8,160000,1,17,222,
20,1,19,20,1,8,170000,1,17,234,
21,1,20,21,1,8,180000,1,17,246,
22,1,21,22,1,8,220000,1,17,268,
23,1,22,23,1,8,240000,1,17,324,
24,1,23,24,1,8,270000,1,17,381,
25,1,24,25,1,8,300000,1,17,437,
26,1,25,26,1,8,330000,1,17,494,
27,1,26,27,1,8,360000,1,17,550,
28,1,27,28,1,8,390000,1,17,606,
29,1,28,29,1,8,420000,1,17,663,
30,1,29,30,1,8,450000,1,17,719,
31,1,30,31,1,8,480000,1,17,776,
32,1,31,32,1,8,510000,1,17,832,
33,1,32,33,1,8,540000,1,17,888,
34,1,33,34,1,8,570000,1,17,945,
35,1,34,35,1,8,600000,1,17,1001,
36,1,35,36,1,8,630000,1,17,1058,
37,1,36,37,1,8,660000,1,17,1114,
38,1,37,38,1,8,690000,1,17,1170,
39,1,38,39,1,8,720000,1,17,1227,
40,1,39,40,1,8,750000,1,17,1283,
41,1,40,41,1,8,780000,1,17,1340,
42,1,41,42,1,8,810000,1,17,1396,
43,1,42,43,1,8,840000,1,17,1453,
44,1,43,44,1,8,870000,1,17,1509,
45,1,44,45,1,8,900000,1,17,1565,
46,1,45,46,1,8,930000,1,17,1622,
47,1,46,47,1,8,950000,1,17,1678,
48,1,47,48,1,8,980000,1,17,1735,
49,1,48,49,1,8,1010000,1,17,1791,
50,1,49,50,1,8,1040000,1,17,1847,
51,1,50,51,1,8,1070000,1,17,1904,
52,1,51,52,1,8,1100000,1,17,1960,
53,1,52,53,1,8,1130000,1,17,2017,
54,1,53,54,1,8,1160000,1,17,2073,
55,1,54,55,1,8,1190000,1,17,2129,
56,1,55,56,1,8,1220000,1,17,2186,
57,1,56,57,1,8,1250000,1,17,2242,
58,1,57,58,1,8,1280000,1,17,2299,
59,1,58,59,1,8,1310000,1,17,2355,
60,1,59,60,1,8,1340000,1,17,2411,
61,1,60,61,1,8,1370000,1,17,2468,
62,1,61,62,1,8,1400000,1,17,2524,
63,1,62,63,1,8,1430000,1,17,2581,
64,1,63,64,1,8,1460000,1,17,2637,
65,1,64,65,1,8,1490000,1,17,2693,
66,1,65,66,1,8,1520000,1,17,2750,
67,1,66,67,1,8,1550000,1,17,2806,
68,1,67,68,1,8,1580000,1,17,2863,
69,1,68,69,1,8,1610000,1,17,2919,
70,1,69,70,1,8,1640000,1,17,2976,
71,1,70,71,1,8,1670000,1,17,3032,
72,1,71,72,1,8,1690000,1,17,3088,
73,1,72,73,1,8,1720000,1,17,3145,
74,1,73,74,1,8,1750000,1,17,3201,
75,1,74,75,1,8,1780000,1,17,3258,
76,1,75,76,1,8,1810000,1,17,3314,
77,1,76,77,1,8,1840000,1,17,3370,
78,1,77,78,1,8,1870000,1,17,3427,
79,2,0,1,1,8,5054,1,17,7,
80,2,1,2,1,8,10000,1,17,21,
