level,playerExp,expCost,silverCost,nextLevel,levelUpReward,openContent,breachAddCombat,starAddCombat,propertyAddCombat,equipCastCombat%1,equipCastCombat%2,equipCastCombat%3,equipCastCombat%4,talentCombat%1,talentCombat%2,talentCombat%3,talentCombat%4,talentCombat%5,talentCombat%6,talentCombat%7,talentCombat%8,talentCombat%9,petUpExp,petStar,petFly,
1,120,100,100,6,25,1890,300,,s==3|0.5,1500,1500,1500,1500,700,920,1150,1440,1660,1880,2120,2460,2800,60,1000,20000,
2,360,,,,25,1890,500,,s==1|6,1500,1500,1500,1500,460,610,760,960,1110,1260,1410,1610,1810,120,2000,40000,
3,720,,,,25,1020,900,,s==2|45,1500,1500,1500,1500,700,920,1150,1440,1660,1880,2120,2460,2800,240,3000,60000,
4,1200,,,,25,1020,1500,,s==2|65,1500,1500,1500,1500,950,1240,1540,1940,2230,2530,2830,3220,3610,480,4000,,
5,1800,,,,25,1020,2000,,s==3|0.1,1500,1500,1500,1500,1200,1560,1940,2430,2800,3170,3540,4040,4540,1040,5000,,
6,3020,440,1484,11,25,1050,2500,5000,s==3|0.1,1500,1500,1500,1500,,,,,,,,,,1560,6000,,
7,3360,,,,25,1280,,7500,s==3|0.1,,,,,,,,,,,,,,2210,7000,,
8,4320,,,,25,1110,,10000,s==3|0.1,,,,,,,,,,,,,,2860,8000,,
9,5400,,,,25,1500,,12500,s==3|0.1,,,,,,,,,,,,,,3510,9000,,
10,7200,,,,25,1500,,15000,s==3|0.1,,,,,,,,,,,,,,4160,10000,,
11,9240,1335,4138,16,25,1120,,17500,s==3|0.1,,,,,,,,,,,,,,4810,11000,,
12,11520,,,,25,1120,,20000,s==3|0.1,,,,,,,,,,,,,,5460,12000,,
13,14040,,,,25,1100,,22500,s==3|0.1,,,,,,,,,,,,,,6110,13000,,
14,16800,,,,25,1230,,25000,s==3|0.1,,,,,,,,,,,,,,6760,,,
15,19800,,,,25,1230,,,s==3|0.1,,,,,,,,,,,,,,7410,,,
16,22770,3196,8978,21,25,1130,,,s==3|0.1,,,,,,,,,,,,,,8060,,,
17,26100,,,,25,1410,,,s==3|0.1,,,,,,,,,,,,,,8710,,,
18,30000,,,,25,1410,,,s==3|0.1,,,,,,,,,,,,,,9360,,,
19,34500,,,,25,1140,,,s==3|0.1,,,,,,,,,,,,,,10010,,,
20,39600,,,,25,1140,,,s==3|0.1,,,,,,,,,,,,,,10660,,,
21,45500,6141,16010,26,25,1250,,,s==2|15,,,,,,,,,,,,,,11310,,,
22,51480,,,,25,1250,,,s==2|15,,,,,,,,,,,,,,11960,,,
23,54300,,,,25,1250,,,s==3|0.1,,,,,,,,,,,,,,12610,,,
24,57200,,,,25,1250,,,s==3|0.1,,,,,,,,,,,,,,13260,,,
25,60300,,,,25,1250,,,s==3|0.1,,,,,,,,,,,,,,13910,,,
26,63600,7993,19651,30,25,1260,,,,,,,,,,,,,,,,,14560,,,
27,67000,,,,25,1260,,,,,,,,,,,,,,,,,15210,,,
28,70600,,,,25,1260,,,,,,,,,,,,,,,,,15860,,,
29,74400,,,,35,1260,,,,,,,,,,,,,,,,,16510,,,
30,78400,15125,36452,35,35,1260,,,,,,,,,,,,,,,,,17160,,,
31,82700,,,,35,1270,,,,,,,,,,,,,,,,,17810,,,
32,87200,,,,35,1270,,,,,,,,,,,,,,,,,18460,,,
33,91900,,,,35,1270,,,,,,,,,,,,,,,,,19110,,,
34,96900,,,,35,1270,,,,,,,,,,,,,,,,,19760,,,
35,102200,23139,51219,40,35,1270,,,,,,,,,,,,,,,,,20410,,,
36,107800,,,,35,1991,,,,,,,,,,,,,,,,,21060,,,
37,113700,,,,35,1991,,,,,,,,,,,,,,,,,21710,,,
38,119900,,,,35,1991,,,,,,,,,,,,,,,,,22360,,,
39,126400,,,,35,1991,,,,,,,,,,,,,,,,,23010,,,
40,133300,32793,71456,45,35,1991,,,,,,,,,,,,,,,,,23660,,,
41,140600,,,,35,1150,,,,,,,,,,,,,,,,,24310,,,
42,148300,,,,35,1150,,,,,,,,,,,,,,,,,24960,,,
43,156400,,,,35,1150,,,,,,,,,,,,,,,,,25610,,,
44,165000,,,,35,1150,,,,,,,,,,,,,,,,,26260,,,
45,174000,44786,92847,50,35,1150,,,,,,,,,,,,,,,,,26910,,,
46,183500,,,,35,2000,,,,,,,,,,,,,,,,,27560,,,
47,193500,,,,35,2000,,,,,,,,,,,,,,,,,28210,,,
48,204100,,,,35,2000,,,,,,,,,,,,,,,,,28860,,,
49,215300,,,,35,2000,,,,,,,,,,,,,,,,,29510,,,
50,227100,60564,120573,55,35,2000,,,,,,,,,,,,,,,,,30160,,,
51,239500,,,,35,1960,,,,,,,,,,,,,,,,,30810,,,
52,252600,,,,35,1960,,,,,,,,,,,,,,,,,31460,,,
53,266400,,,,35,1960,,,,,,,,,,,,,,,,,32110,,,
54,281000,,,,35,1960,,,,,,,,,,,,,,,,,32760,,,
55,296400,77138,150052,60,35,1960,,,,,,,,,,,,,,,,,33410,,,
56,312700,,,,35,1510,,,,,,,,,,,,,,,,,34060,,,
57,329800,,,,35,1510,,,,,,,,,,,,,,,,,34710,,,
58,347900,,,,45,1510,,,,,,,,,,,,,,,,,35360,,,
59,367000,,,,45,1510,,,,,,,,,,,,,,,,,36010,,,
60,387100,18111,33644,61,45,1510,,,,,,,,,,,,,,,,,36660,,,
61,408300,18689,35053,62,45,1013,,,,,,,,,,,,,,,,,37310,,,
62,430700,19788,36824,63,45,1013,,,,,,,,,,,,,,,,,37960,,,
63,454300,20871,38397,64,45,1013,,,,,,,,,,,,,,,,,38610,,,
64,479200,21381,39837,65,45,1013,,,,,,,,,,,,,,,,,39260,,,
65,505500,22417,41244,66,45,1013,,,,,,,,,,,,,,,,,39910,,,
66,533300,23667,43395,67,45,2090,,,,,,,,,,,,,,,,,40560,,,
67,562600,24576,44967,68,45,2090,,,,,,,,,,,,,,,,,41210,,,
68,593500,25347,47149,69,45,2090,,,,,,,,,,,,,,,,,41860,,,
