id,vipExp,vipDrop1,vipDrop2,vipDrop3,vipDrop4,heroLimit,challengeTimes,dailyCopyPassTimes,northCopyPassTimes,trialsTowerPurchases,mysticMerchantRefresh,resurrectionTimes,offerRewardTimes,combatSpeed,hangBenefitsLong,goldBonus,copyPurchases,icon,reward,iPrivilegePackage,giftDesc,beautyTimes,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
0,0,0,0,0,0,150,,0,1,,,2,0,,43200,,,,1426,1250,,4,,,,,,,,,,
1,60,1000,1000,1000,0,175,,1,1,,,3,1,,50400,,,,1427,1260,s==4|海量铜钱,4,,,,,,,,,,
2,300,1500,1500,1500,0,200,,1,2,,,4,1,,54000,,,,1428,1270,s==6|4星神魔武将,4,,,,,,,,,,
3,1000,2000,2000,2000,0,225,,2,2,,,5,2,,57600,,,,1429,1280,s==5|高级夺宝令,4,,,,,,,,,,
4,2000,3000,3000,3000,0,250,,2,3,,,6,2,,61200,,,,1430,1290,s==4|5星武将,4,,,,,,,,,,
5,5000,4000,4000,4000,0,275,,3,3,,,7,2,,64800,,,,1431,1300,s==6|三系辅助武将,5,2,30016,1,,,,,,,
6,10000,5000,5000,5000,0,300,,3,4,,,8,3,,72000,,,,1432,1310,s==6|五系输出武将,5,,,,,,,,,,
7,15000,6000,6000,6000,0,325,,4,4,,,9,3,,79200,,,,1433,1320,s==6|五系输出武将,5,,,,,,,,,,
8,20000,7000,7000,7000,0,350,,4,5,,,10,3,,86400,,,,1434,1330,s==6|核心神魔武将,5,,,,,,,,,,
9,30000,8000,8000,8000,0,375,,5,5,,,11,3,,93600,,,,1435,1340,s==6|核心神魔武将,5,,,,,,,,,,
10,50000,9000,9000,9000,0,400,,5,5,,,12,3,,100800,,,,1436,1350,s==4|领军将印,5,2,30012,1,,,,,,,
11,100000,10000,10000,10000,0,425,,6,5,,,13,3,,108000,,,,1437,1360,s==6|核心神魔武将,5,,,,,,,,,,
12,150000,11000,11000,11000,0,450,,6,5,,,14,3,,115200,,,,1438,1370,s==6|核心神魔武将,6,,,,,,,,,,
13,300000,12000,12000,12000,0,475,,7,5,,,15,3,,122400,,,,1439,1380,s==6|核心神魔武将,6,,,,,,,,,,
14,500000,13000,13000,13000,0,500,,7,5,, ,16,3,,129600,,,,1440,1390,s==4|大将军印,6,,,,,,,,,,
15,800000,14000,14000,14000,0,525,,8,6,,,17,3,,136800,,,,1441,1400,s==4|大将军印,7,,,,,,,,,,
16,1200000,15000,15000,15000,0,550,,8,6,,,18,3,,151200,,,,1442,1410,s==4|枭雄将印,7,,,,,,,,,,
17,2000000,16000,16000,16000,0,575,,9,7,,,19,3,,165600,,,,1443,1420,s==4|枭雄将印,8,,,,,,,,,,
18,3000000,17000,17000,17000,0,600,,10,8,,,20,3,,180000,,,,1444,1430,s==9|究极称号 属性倍增,9,2,1208,1,,,,,,,
