id,type,level,title,icon,param,param2,show,soft,
1,1,1,s==17|Nạp Thẻ Tặng Thêm,s==6|q_czjz,5,3,s==47|Nạp Thẻ Tặng Thêm <color=#c4011f>5%</color> KNB,1,
2,1,2,s==17|Nạp Thẻ Tặng Thêm,s==6|q_czjz,5,-1,s==47|Nạp Thẻ Tặng Thêm <color=#c4011f>5%</color> KNB,1,
3,1,3,s==17|Nạp Thẻ Tặng Thêm,s==6|q_czjz,10,-1,s==48|Nạp Thẻ Tặng Thêm <color=#c4011f>10%</color> KNB,1,
4,1,4,s==17|Nạp Thẻ Tặng Thêm,s==6|q_czjz,20,-1,s==48|Nạp Thẻ Tặng Thêm <color=#c4011f>20%</color> KNB,1,
5,2,1,s==17|Lễ Vật Tuần Riêng,s==6|q_zszl,5669,,,2,
6,2,2,s==17|Lễ Vật Tuần Riêng,s==6|q_zszl,5670,,,2,
7,2,3,s==17|Lễ Vật Tuần Riêng,s==6|q_zszl,5671,,,2,
8,2,4,s==17|Lễ Vật Tuần Riêng,s==6|q_zszl,5672,,,2,
9,3,1,s==22|Đặc Quyền Gói Quà Game,s==6|q_yqzs,,,s==76|Tặng phiếu du ngoạn ：50 nguyên bảo*1\nTối thiểu 250 nguyên bảo mới dùng được,4,
10,3,2,s==22|Đặc Quyền Gói Quà Game,s==6|q_yqzs,,,s==76|Tặng phiếu du ngoạn ：50 nguyên bảo*2\nTối thiểu 250 nguyên bảo mới dùng được,4,
11,3,3,s==22|Đặc Quyền Gói Quà Game,s==6|q_yqzs,,,s==76|Tặng phiếu du ngoạn ：50 nguyên bảo*3\nTối thiểu 250 nguyên bảo mới dùng được,4,
12,3,4,s==22|Đặc Quyền Gói Quà Game,s==6|q_yqzs,,,s==76|Tặng phiếu du ngoạn ：50 nguyên bảo*8\nTối thiểu 250 nguyên bảo mới dùng được,4,
13,4,1,s==25|Đặc Quyền Sinh Nhật Riêng,s==6|q_srzs,,,s==45|Gói Phiếu Du 200 Nguyên\nMỗi năm nhận một lần,6,
14,4,2,s==25|Đặc Quyền Sinh Nhật Riêng,s==6|q_srzs,,,s==45|Gói Phiếu Du 500 Nguyên\nMỗi năm nhận một lần,6,
15,4,3,s==25|Đặc Quyền Sinh Nhật Riêng,s==6|q_srzs,,,s==51|Gói Phiếu Du 750 Nguyên\nKèm Gói Quà Thực Thể Riêng,6,
16,4,4,s==25|Đặc Quyền Sinh Nhật Riêng,s==6|q_srzs,,,s==52|Gói Phiếu Du 1250 Nguyên\nKèm Gói Quà Thực Thể Riêng,6,
17,5,1,s==20|Đặc Quyền Tuyệt Phẩm,s==6|q_jbzs,5678,,,3,
18,5,2,s==20|Đặc Quyền Tuyệt Phẩm,s==6|q_jbzs,5679,,,3,
19,5,3,s==20|Đặc Quyền Tuyệt Phẩm,s==6|q_jbzs,5680,,,3,
20,5,4,s==20|Đặc Quyền Tuyệt Phẩm,s==6|q_jbzs,5681,,,3,
21,6,1,,,,,,7,
22,6,2,,,,,,7,
23,6,3,,,,,,7,
24,6,4,s==15|Chia Sẻ Nạp Thẻ,s==6|q_czgx,20,7,s==123|Sau khi kết bái bằng hữu，bằng hữu nạp nguyên bảo có thể hoàn lại 20% nguyên bảo\nHiệu lực 7 ngày，hết hạn có thể kết bái lại,7,
25,7,1,s==26|Đặc Quyền Cao Cấp Game Thủ,s==8|q_gjwktq,,,s==74|Trải Nghiệm Trước Đặc Quyền Cấp Cao Hơn\nThẻ Trải Nghiệm Chuẩn Game Thủ *1,5,
26,7,2,s==26|Đặc Quyền Cao Cấp Game Thủ,s==8|q_gjwktq,,,s==72|Trải Nghiệm Trước Đặc Quyền Cấp Cao Hơn\nThẻ Trải Nghiệm Đại Game Thủ *1,5,
27,7,3,s==26|Đặc Quyền Cao Cấp Game Thủ,s==8|q_gjwktq,,,s==77|Trải Nghiệm Trước Đặc Quyền Cấp Cao Hơn\nThẻ Trải Nghiệm Siêu Đại Game Thủ *1,5,
28,7,4,,,,,,5,
29,8,1,,,,,,8,
30,8,2,,,,,,8,
31,8,3,s==33|Đặc Quyền Hỗ Trợ Khách Hàng Riêng,s==6|q_zskf,,,s==50|Hỗ Trợ Viên Nền Tảng Cung Cấp Tư Vấn Chuyên Nghiệp,8,
32,8,4,s==33|Đặc Quyền Hỗ Trợ Khách Hàng Riêng,s==6|q_zskf,,,s==33|Hỗ Trợ Viên 1v1 Giải Đáp Thắc Mắc,8,
