id,groupId,type,desc,pro,reward1-type-1,reward1-id-1,reward1-value-1,reward1-type-2,reward1-id-2,reward1-value-2,reward1-type-3,reward1-id-3,reward1-value-3,reward1-type-4,reward1-id-4,reward1-value-4,reward2-type-1,reward2-id-1,reward2-value-1,reward2-type-2,reward2-id-2,reward2-value-2,reward2-type-3,reward2-id-3,reward2-value-3,
101,1,10,s==10|Tài nguyên,6000,1,8,104800,,,,,,,,,,,,,,,,,,,
102,1,10,s==10|Tài nguyên,4000,1,8,87600,,,,,,,,,,,,,,,,,,,
109,2,40,s==8|Trị Liệu,3500,1,46,1,,,,,,,,,,,,,,,,,,,
110,2,41,s==8|Độc Dược,3000,1,47,1,,,,,,,,,,,,,,,,,,,
111,2,42,s==6|Vân Du,3500,1,48,1,,,,,,,,,,,,,,,,,,,
103,3,20,s==7|Đơn Vấn,3500,1,8,74500,2,1027,3,,,,,,,1,8,58100,,,,,,,
104,3,20,s==7|Đơn Vấn,6500,2,1007,1,,,,,,,,,,1,8,66400,,,,,,,
105,4,21,s==6|Đa Vấn,5000,1,8,41600,1,10,34800,,,,,,,2,1007,1,,,,,,,
106,4,21,s==6|Đa Vấn,5000,1,8,41600,1,10,34800,,,,,,,2,1007,2,,,,,,,
114,5,70,s==4|BUFF,10000,,,,,,,,,,,,,,,,,,,,,,
107,6,60,s==11|Thương Điếm,10000,,,,,,,,,,,,,,,,,,,,,,
108,7,50,s==6|Đổ Đàm,10000,,,,,,,,,,,,,,,,,,,,,,
112,8,30,s==9|Rương báu,10000,2,3008,2,2,3009,2,2,3010,2,2,3011,2,2,1063,1,,,,,,,
113,9,80,s==17|BẢO TƯƠNG ẤN KHÓA,10000,2,1063,1,,,,,,,,,,,,,,,,,,,
