id,heroId,horseSkillId,extraAtt-type-1,extraAtt-way-1,extraAtt-value-1,extraAtt-type-2,extraAtt-way-2,extraAtt-value-2,wakenExtraAtt-type-1,wakenExtraAtt-way-1,wakenExtraAtt-value-1,wakenExtraAtt-type-2,wakenExtraAtt-way-2,wakenExtraAtt-value-2,rebackItem,describe,
14801,23511,1058|1168,1,1,300,,,,,,,,,,2|1299|1,s==190|Ngô Vương·Tôn Quyền chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14802,22512,1053|1168,1,1,300,,,,,,,,,,2|1299|1,s==187|Thục Quân·Lưu Bị chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14803,21515,1058|1168,1,1,300,,,,,,,,,,2|1299|1,s==187|Ngụy Đế·Tào Tháo chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14804,25518,1053|1168,1,1,300,,,,,,,,,,2|1299|1,s==185|Ma Tôn·Hạng Vũ chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14805,24518,1058|1168,1,1,300,,,,,,,,,,2|1299|1,s==190|Thần Vương·Lưu Bang chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14806,25516,1058|1168,2,1,300,,,,,,,,,,2|1299|1,s==181|Ma·Tư Mã Ý chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14807,25517,1028|1113,1,1,300,,,,,,,,,,2|1299|1,s==188|Ma·Quan Ngân Bình chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14808,24517,1053|1168,2,1,300,,,,,,,,,,2|1299|1,s==183|Thần·Mã Siêu chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14809,24516,1028|1163,1,1,300,,,,,,,,,,2|1299|1,s==186|Thần·Trương Phi chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14810,22515,1043|1113,1,1,300,,,,,,,,,,2|1299|1,s==187|Hoàng Nguyệt Anh chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14811,26501,1058|1168,2,1,300,,,,,,,,,,2|1299|1,s==180|Hồn·Tả Từ chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14812,21516,1028|1113,1,1,300,,,,,,,,,,2|1299|1,s==187|Ngụy·Thái Văn Cơ chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14813,26502,1053|1168,2,1,300,,,,,,,,,,2|1299|1,s==184|Hồn·Triệu Vân chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14814,26503,1028|1113,1,1,300,,,,,,,,,,2|1299|1,s==184|Hồn·Tiểu Kiều chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14815,26504,1028|1163,2,1,300,,,,,,,,,,2|1299|1,s==186|Hồn·Trương Liêu chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14816,26505,1058|1168,2,1,300,,,,,,,,,,2|1299|1,s==183|Hồn·Châu Nhu chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14817,26506,1058|1168,2,1,300,,,,,,,,,,2|1299|1,s==186|Hồn·Điêu Thuyền chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14818,26507,1058|1168,2,1,300,,,,,,,,,,2|1299|1,s==183|Hồn·Đại Kiều chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14819,26508,1058|1168,2,1,300,,,,,,,,,,2|1299|1,s==182|Hồn·Quan Vũ chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14820,26509,1058|1168,2,1,300,,,,,,,,,,2|1299|1,s==182|Hồn·Gia Cát chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14821,26510,1058|1168,2,1,300,,,,,,,,,,2|1299|1,s==185|Hồn·Tôn Thượng chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
14822,26511,1058|1168,2,1,300,,,,,,,,,,2|1299|1,s==180|Hồn·Lữ Bộ chuyên thuộc chiến mã， khởi thủy thiết lập 2 kỹ năng chiến mã chuyên thuộc võ tướng， tướng này khi trang bị， có thể gia tăng thêm sự bổ trợ chuyên thuộc của chiến mã này。,
