id,icon,name,type,quality,lv,property-type-1,property-way-1,property-value-1,weight,power,
1001,2900101,s==4|高级攻击,1,6,1,2,1,10000,900,2640,
1002,2900101,s==4|高级攻击,1,6,2,2,1,12500,720,2720,
1003,2900101,s==4|高级攻击,1,6,3,2,1,15000,540,2800,
1004,2900101,s==4|高级攻击,1,6,4,2,1,17500,360,3980,
1005,2900101,s==4|高级攻击,1,6,5,2,1,20000,180,4160,
1006,2900102,s==4|高级生命,2,6,1,1,1,10000,900,2640,
1007,2900102,s==4|高级生命,2,6,2,1,1,12500,720,2720,
1008,2900102,s==4|高级生命,2,6,3,1,1,15000,540,2800,
1009,2900102,s==4|高级生命,2,6,4,1,1,17500,360,3980,
1010,2900102,s==4|高级生命,2,6,5,1,1,20000,180,4160,
1011,2900103,s==4|高级防御,3,6,1,3,0,320,1800,1456,
1012,2900103,s==4|高级防御,3,6,2,3,0,340,1440,1580,
1013,2900103,s==4|高级防御,3,6,3,3,0,360,1080,1800,
1014,2900103,s==4|高级防御,3,6,4,3,0,380,720,1990,
1015,2900103,s==4|高级防御,3,6,5,3,0,400,360,2080,
1016,2900104,s==4|高级速度,4,6,1,4,0,130,900,1456,
1017,2900104,s==4|高级速度,4,6,2,4,0,137,720,1580,
1018,2900104,s==4|高级速度,4,6,3,4,0,145,540,1800,
1019,2900104,s==4|高级速度,4,6,4,4,0,153,360,1990,
1020,2900104,s==4|高级速度,4,6,5,4,0,160,180,2080,
1021,2900105,s==4|高级韧性,5,6,1,20,0,800,7200,700,
1022,2900105,s==4|高级韧性,5,6,2,20,0,850,5760,760,
1023,2900105,s==4|高级韧性,5,6,3,20,0,900,4320,830,
1024,2900105,s==4|高级韧性,5,6,4,20,0,950,2880,910,
1025,2900105,s==4|高级韧性,5,6,5,20,0,1000,1440,1000,
1026,2900106,s==4|高级免伤,6,6,1,11,1,400,1800,700,
1027,2900106,s==4|高级免伤,6,6,2,11,1,425,1440,760,
1028,2900106,s==4|高级免伤,6,6,3,11,1,450,1080,830,
1029,2900106,s==4|高级免伤,6,6,4,11,1,475,720,910,
1030,2900106,s==4|高级免伤,6,6,5,11,1,500,360,1000,
1031,2900107,s==4|高级物免,7,6,1,14,1,400,7200,700,
1032,2900107,s==4|高级物免,7,6,2,14,1,425,5760,760,
1033,2900107,s==4|高级物免,7,6,3,14,1,450,4320,830,
