id,faction,layerId,nextLayerId,battleId,battleScene,firstRewards-type-1,firstRewards-id-1,firstRewards-value-1,firstRewards-type-2,firstRewards-id-2,firstRewards-value-2,sweepRewards-type-1,sweepRewards-id-1,sweepRewards-value-1,sweepRewards-type-2,sweepRewards-id-2,sweepRewards-value-2,
1001,1,1,2,s==24|7110|7120|7130|7140|7150,140001,2,1039,31,2,1043,1,2,1039,6,2,1043,1,
1002,1,2,3,s==24|7111|7121|7131|7141|7151,140001,2,1039,36,2,1043,1,2,1039,7,2,1043,1,
1003,1,3,4,s==24|7112|7122|7132|7142|7152,140001,2,1039,41,2,1043,1,2,1039,8,2,1043,1,
1004,1,4,5,s==24|7113|7123|7133|7143|7153,140001,2,1039,46,2,1043,1,2,1039,9,2,1043,1,
1005,1,5,6,s==24|7114|7124|7134|7144|7154,140001,2,1039,51,2,1043,1,2,1039,10,2,1043,1,
1006,1,6,7,s==24|7115|7125|7135|7145|7155,140001,2,1039,56,2,1043,1,2,1039,11,2,1043,1,
1007,1,7,8,s==24|7116|7126|7136|7146|7156,140001,2,1039,66,2,1043,1,2,1039,12,2,1043,1,
1008,1,8,9,s==24|7117|7127|7137|7147|7157,140001,2,1039,81,2,1043,1,2,1039,13,2,1043,1,
1009,1,9,10,s==24|7118|7128|7138|7148|7158,140001,2,1039,101,2,1043,1,2,1039,14,2,1043,1,
1010,1,10,0,s==24|7119|7129|7139|7149|7159,140001,2,1039,122,2,1043,1,2,1039,15,2,1043,1,
2001,2,1,2,s==24|7210|7220|7230|7240|7250,140002,2,1040,31,2,1043,1,2,1040,6,2,1043,1,
2002,2,2,3,s==24|7211|7221|7231|7241|7251,140002,2,1040,36,2,1043,1,2,1040,7,2,1043,1,
2003,2,3,4,s==24|7212|7222|7232|7242|7252,140002,2,1040,41,2,1043,1,2,1040,8,2,1043,1,
2004,2,4,5,s==24|7213|7223|7233|7243|7253,140002,2,1040,46,2,1043,1,2,1040,9,2,1043,1,
2005,2,5,6,s==24|7214|7224|7234|7244|7254,140002,2,1040,51,2,1043,1,2,1040,10,2,1043,1,
2006,2,6,7,s==24|7215|7225|7235|7245|7255,140002,2,1040,56,2,1043,1,2,1040,11,2,1043,1,
2007,2,7,8,s==24|7216|7226|7236|7246|7256,140002,2,1040,66,2,1043,1,2,1040,12,2,1043,1,
2008,2,8,9,s==24|7217|7227|7237|7247|7257,140002,2,1040,81,2,1043,1,2,1040,13,2,1043,1,
2009,2,9,10,s==24|7218|7228|7238|7248|7258,140002,2,1040,101,2,1043,1,2,1040,14,2,1043,1,
2010,2,10,0,s==24|7219|7229|7239|7249|7259,140002,2,1040,122,2,1043,1,2,1040,15,2,1043,1,
3001,3,1,2,s==24|7310|7320|7330|7340|7350,140000,2,1038,31,2,1043,1,2,1038,6,2,1043,1,
3002,3,2,3,s==24|7311|7321|7331|7341|7351,140000,2,1038,36,2,1043,1,2,1038,7,2,1043,1,
3003,3,3,4,s==24|7312|7322|7332|7342|7352,140000,2,1038,41,2,1043,1,2,1038,8,2,1043,1,
3004,3,4,5,s==24|7313|7323|7333|7343|7353,140000,2,1038,46,2,1043,1,2,1038,9,2,1043,1,
3005,3,5,6,s==24|7314|7324|7334|7344|7354,140000,2,1038,51,2,1043,1,2,1038,10,2,1043,1,
3006,3,6,7,s==24|7315|7325|7335|7345|7355,140000,2,1038,56,2,1043,1,2,1038,11,2,1043,1,
3007,3,7,8,s==24|7316|7326|7336|7346|7356,140000,2,1038,66,2,1043,1,2,1038,12,2,1043,1,
3008,3,8,9,s==24|7317|7327|7337|7347|7357,140000,2,1038,81,2,1043,1,2,1038,13,2,1043,1,
3009,3,9,10,s==24|7318|7328|7338|7348|7358,140000,2,1038,101,2,1043,1,2,1038,14,2,1043,1,
3010,3,10,0,s==24|7319|7329|7339|7349|7359,140000,2,1038,122,2,1043,1,2,1038,15,2,1043,1,
4001,4,1,2,s==24|7410|7420|7430|7440|7450,140003,2,1041,31,2,1043,1,2,1041,6,2,1043,1,
4002,4,2,3,s==24|7411|7421|7431|7441|7451,140003,2,1041,36,2,1043,1,2,1041,7,2,1043,1,
4003,4,3,4,s==24|7412|7422|7432|7442|7452,140003,2,1041,41,2,1043,1,2,1041,8,2,1043,1,
4004,4,4,5,s==24|7413|7423|7433|7443|7453,140003,2,1041,46,2,1043,1,2,1041,9,2,1043,1,
4005,4,5,6,s==24|7414|7424|7434|7444|7454,140003,2,1041,51,2,1043,1,2,1041,10,2,1043,1,
4006,4,6,7,s==24|7415|7425|7435|7445|7455,140003,2,1041,56,2,1043,1,2,1041,11,2,1043,1,
4007,4,7,8,s==24|7416|7426|7436|7446|7456,140003,2,1041,66,2,1043,1,2,1041,12,2,1043,1,
4008,4,8,9,s==24|7417|7427|7437|7447|7457,140003,2,1041,81,2,1043,1,2,1041,13,2,1043,1,
4009,4,9,10,s==24|7418|7428|7438|7448|7458,140003,2,1041,101,2,1043,1,2,1041,14,2,1043,1,
4010,4,10,0,s==24|7419|7429|7439|7449|7459,140003,2,1041,122,2,1043,1,2,1041,15,2,1043,1,
5001,5,1,2,s==24|7510|7520|7530|7540|7550,140004,2,1042,31,2,1043,1,2,1042,6,2,1043,1,
5002,5,2,3,s==24|7511|7521|7531|7541|7551,140004,2,1042,36,2,1043,1,2,1042,7,2,1043,1,
5003,5,3,4,s==24|7512|7522|7532|7542|7552,140004,2,1042,41,2,1043,1,2,1042,8,2,1043,1,
5004,5,4,5,s==24|7513|7523|7533|7543|7553,140004,2,1042,46,2,1043,1,2,1042,9,2,1043,1,
5005,5,5,6,s==24|7514|7524|7534|7544|7554,140004,2,1042,51,2,1043,1,2,1042,10,2,1043,1,
5006,5,6,7,s==24|7515|7525|7535|7545|7555,140004,2,1042,56,2,1043,1,2,1042,11,2,1043,1,
5007,5,7,8,s==24|7516|7526|7536|7546|7556,140004,2,1042,66,2,1043,1,2,1042,12,2,1043,1,
5008,5,8,9,s==24|7517|7527|7537|7547|7557,140004,2,1042,81,2,1043,1,2,1042,13,2,1043,1,
5009,5,9,10,s==24|7518|7528|7538|7548|7558,140004,2,1042,101,2,1043,1,2,1042,14,2,1043,1,
5010,5,10,0,s==24|7519|7529|7539|7549|7559,140004,2,1042,122,2,1043,1,2,1042,15,2,1043,1,
