id,name,desc,upGradeType,icon,skillNum-key-1,skillNum-val-1,skillNum-key-2,skillNum-val-2,skill1_1,skill2_1,skill2_2,skillComLock-type-1,skillComLock-id-1,skillComLock-value-1,skillComLock-type-2,skillComLock-id-2,skillComLock-value-2,propertylock-type-1,propertylock-id-1,propertylock-value-1,combatJudge,skillRecastLock-type-1,skillRecastLock-id-1,skillRecastLock-value-1,skillRecastLock-type-2,skillRecastLock-id-2,skillRecastLock-value-2,propertyRecastlock-type-1,propertyRecastlock-id-1,propertyRecastlock-value-1,propertyRecastlock-type-2,propertyRecastlock-id-2,propertyRecastlock-value-2,propertyRecastlock-type-3,propertyRecastlock-id-3,propertyRecastlock-value-3,propertyLib,customizedId,recastCost-type-1,recastCost-id-1,recastCost-value-1,recastCost-type-2,recastCost-id-2,recastCost-value-2,lockRecastjudge,refineCost-type-1,refineCost-id-1,refineCost-value-1,refineCost-type-2,refineCost-id-2,refineCost-value-2,luckSkill1_1,luckSkill2_1,luckSkill2_2,luckRecastCost,buyCostWarriorType,buyCostWarriorId,buyCostWarriorNum,discomposeType,discomposeId,discomposeNum,customizedWholeId,heroId,baseAttr,zhuanshuAttr,skillId,canImprove,improve-type-1,improve-id-1,improve-value-1,improveResult,backtrackId,
4010,s==4|都尉将印,s==1|绿,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,1,8,10000,2,1006,29,0,,,,,,,,,,,,,,2,1006,61,,,,,,,,,,,,
4020,s==4|校尉将印,s==1|蓝,1,,1,10000,,,301,,,2,1105,10,,,,2,1105,10,1,2,1105,1,,,,2,1105,1,,,,,,,2,,1,8,90000,2,1006,147,1,,,,,,,,,,,,,,2,1006,303,,,,,,,,,,,,
4030,s==4|中郎将印,s==1|紫,1,,1,5000,2,5000,401,341,301,2,1105,20,2,1105,20,2,1105,20,1,2,1105,1,2,1105,1,2,1105,1,,,,,,,3,,1,8,240000,2,1006,490,1,,,,,,,,,,,,,,2,1006,1515,,,,,,,,,,,,
4040,s==4|领军将印,s==1|橙,1,,1,2000,2,8000,501,451,342,2,1105,40,2,1105,40,2,1105,40,1,2,1105,2,2,1105,2,2,1105,2,,,,,,,4,1176,1,8,730000,2,1006,1470,1,,,,,,,502,502,342,25,1,25,1000,2,1006,7575,,,,,,,,,,,,
4050,s==4|大将军印,s==1|红,2,,2,10000,,,,561,452,,,,,,,,,,0,2,1105,3,2,1105,3,2,1105,3,2,1105,3,,,,5|7,1177,1,8,1960000,2,1006,4200,1,2,1020,100,2,1021,30,,602,452,15,,,,2,1006,37875,1277,,,,,,,,,,,
4051,s==6|大将军印+1,s==1|红,2,,2,10000,,,,561,452,,,,,,,,,,0,2,1105,4,2,1105,4,2,1105,4,2,1105,4,,,,6|7,,,,,,,,1,2,1020,200,2,1021,60,,602,452,15,,,,2,1006,37875,,,,,,,,,,,,
4052,s==6|大将军印+2,s==1|红,2,,2,10000,,,,561,452,,,,,,,,,,0,2,1105,4,2,1105,4,2,1105,4,2,1105,4,2,1105,4,6|7|7,,,,,,,,1,2,1020,300,2,1021,120,,602,452,15,,,,2,1006,37875,,,,,,,,,,,,
4060,s==4|枭雄金印,s==1|粉,0,,2,10000,,,,671,671,,,,,,,,,,0,2,1105,4,2,1105,4,2,1105,4,2,1105,4,2,1105,4,6|7|7,1178,1,8,2440000,2,1006,8300,1,,,,,,,,702,671,10,,,,2,1006,189375,,,,,,,,,,,,
100001,s==4|中郎将印,s==1|紫,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23511,30003,100001|100002,4203|4132,1,2,100006,1,100002,4030,
100002,s==4|领军将印,s==1|橙,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23511,40003,101001|101002,4303|4232,1,2,100007,1,100003,4040,
