id,propertyId,propertyWay,propertyValue,nextId,score1,desc,
10001,2,0,300,,59,s==26|Đô úy tướng ấn (Công Kích),
10002,3,0,25,,56,s==26|Đô úy tướng ấn (Phòng Ngự),
10003,1,0,2990,,60,s==26|Đô úy tướng ấn (Sinh Mệnh),
10004,4,0,25,,129,s==23|Đô úy tướng ấn (Tốc Độ),
20001,2,0,600,,118,s==28|Hiệu úy tướng ấn (Công Kích),
20002,3,0,55,,115,s==28|Hiệu úy tướng ấn (Phòng Ngự),
20003,1,0,5980,,119,s==28|Hiệu úy tướng ấn (Sinh Mệnh),
20004,4,0,45,,259,s==25|Hiệu úy tướng ấn (Tốc Độ),
30001,2,0,1200,,236,s==31|Trung lang tướng ấn (Công Kích),
30002,3,0,105,,233,s==31|Trung lang tướng ấn (Phòng Ngự),
30003,1,0,11960,,239,s==31|Trung lang tướng ấn (Sinh Mệnh),
30004,4,0,65,,388,s==28|Trung lang tướng ấn (Tốc Độ),
40001,2,0,2400,,474,s==30|Lãnh quân tướng ấn (Công Kích),
40002,3,0,215,,470,s==30|Lãnh quân tướng ấn (Phòng Ngự),
40003,1,0,23920,,477,s==30|Lãnh quân tướng ấn (Sinh Mệnh),
40004,4,0,85,,517,s==27|Lãnh quân tướng ấn (Tốc Độ),
50001,2,0,4800,60001,948,s==29|Đại tướng quân ấn (Công Kích),
50002,3,0,430,60002,943,s==29|Đại tướng quân ấn (Phòng Ngự),
50003,1,0,47840,60003,946,s==29|Đại tướng quân ấn (Sinh Mệnh),
50004,4,0,105,60004,646,s==26|Đại tướng quân ấn (Tốc Độ),
60001,2,0,9600,,1897,s==34|Hiêu hùng kim ấn (Công Kích cấp 1),
60002,3,0,860,,1886,s==34|Hiêu hùng kim ấn (Phòng Ngự cấp 1),
60003,1,0,95680,,1892,s==34|Hiêu hùng kim ấn (Sinh Mệnh cấp 1),
60004,4,0,210,,1292,s==31|Hiêu hùng kim ấn (Tốc Độ cấp 1),
60005,2,0,19200,,1897,s==36|Hiêu hùng kim ấn (Công Kích hoàn mỹ),
60006,3,0,1290,,1886,s==36|Hiêu hùng kim ấn (Phòng Ngự hoàn mỹ),
60007,1,0,191360,,1892,s==36|Hiêu hùng kim ấn (Sinh Mệnh hoàn mỹ),
60008,4,0,315,,1292,s==33|Hiêu hùng kim ấn (Tốc Độ hoàn mỹ),
60009,2,0,12000,,1897,s==34|Hiêu hùng kim ấn (Công Kích cấp 2),
60010,3,0,965,,1886,s==34|Hiêu hùng kim ấn (Phòng Ngự cấp 2),
60011,1,0,119600,,1892,s==34|Hiêu hùng kim ấn (Sinh Mệnh cấp 2),
60012,4,0,225,,1292,s==31|Hiêu hùng kim ấn (Tốc Độ cấp 2),
60013,2,0,14400,,1897,s==34|Hiêu hùng kim ấn (Công Kích cấp 3),
60014,3,0,1070,,1886,s==34|Hiêu hùng kim ấn (Phòng Ngự cấp 3),
60015,1,0,143520,,1892,s==34|Hiêu hùng kim ấn (Sinh Mệnh cấp 3),
60016,4,0,240,,1292,s==31|Hiêu hùng kim ấn (Tốc Độ cấp 3),
60017,2,0,16800,,1897,s==34|Hiêu hùng kim ấn (Công Kích cấp 4),
60018,3,0,1175,,1886,s==34|Hiêu hùng kim ấn (Phòng Ngự cấp 4),
60019,1,0,167440,,1892,s==34|Hiêu hùng kim ấn (Sinh Mệnh cấp 4),
60020,4,0,255,,1292,s==31|Hiêu hùng kim ấn (Tốc Độ cấp 4),
70001,2,1,500,,600,s==28|Tỷ lệ thuộc tính (Công Kích),
70002,3,1,500,,600,s==28|Tỷ lệ thuộc tính (Phòng Ngự),
70003,11,1,500,,600,s==30|Tỷ lệ thuộc tính (Miễn Thương),
70004,5,0,500,,600,s==27|Tỷ lệ thuộc tính (Bạo Kích),
70005,7,0,500,,600,s==28|Tỷ lệ thuộc tính (Kháng Bạo),
70006,6,0,1500,,600,s==29|Tỷ lệ thuộc tính (Bạo Thương),
70007,10,0,500,,600,s==26|Tỷ lệ thuộc tính ( Thương),
70008,1,1,500,,600,s==28|Tỷ lệ thuộc tính (Sinh Mệnh),
70009,20,1,1000,,600,s==27|Tỷ lệ thuộc tính (Nhẫn Nại),
100001,2,0,200,,40,s==35|Chuyên thuộc tướng ấn (Công Kích 1),
100002,1,0,2000,,40,s==35|Chuyên thuộc tướng ấn (Sinh Mệnh 1),
101001,2,0,400,,80,s==35|Chuyên thuộc tướng ấn (Công Kích 2),
101002,1,0,4000,,80,s==35|Chuyên thuộc tướng ấn (Sinh Mệnh 2),
102001,2,0,800,,160,s==35|Chuyên thuộc tướng ấn (Công Kích 3),
102002,1,0,8000,,160,s==35|Chuyên thuộc tướng ấn (Sinh Mệnh 3),
