id,groupId,propertyId,weight,desc,enableCustomized,
1,1,10001,500,s==26|Đô úy tướng ấn (Công Kích),,
2,1,10002,200,s==26|Đô úy tướng ấn (Phòng Ngự),,
3,1,10003,1000,s==26|Đô úy tướng ấn (Sinh Mệnh),,
4,1,10004,200,s==23|Đô úy tướng ấn (Tốc Độ),,
5,2,20001,500,s==28|Hiệu úy tướng ấn (Công Kích),,
6,2,20002,200,s==28|Hiệu úy tướng ấn (Phòng Ngự),,
7,2,20003,1000,s==28|Hiệu úy tướng ấn (Sinh Mệnh),,
8,2,20004,200,s==25|Hiệu úy tướng ấn (Tốc Độ),,
9,3,30001,500,s==31|Trung lang tướng ấn (Công Kích),,
10,3,30002,200,s==31|Trung lang tướng ấn (Phòng Ngự),,
11,3,30003,1000,s==31|Trung lang tướng ấn (Sinh Mệnh),,
12,3,30004,200,s==28|Trung lang tướng ấn (Tốc Độ),,
13,4,40001,500,s==30|Lãnh quân tướng ấn (Công Kích),1,
14,4,40002,200,s==30|Lãnh quân tướng ấn (Phòng Ngự),1,
15,4,40003,1000,s==30|Lãnh quân tướng ấn (Sinh Mệnh),1,
16,4,40004,200,s==27|Lãnh quân tướng ấn (Tốc Độ),1,
17,5,50001,500,s==29|Đại tướng quân ấn (Công Kích),1,
18,5,50002,200,s==29|Đại tướng quân ấn (Phòng Ngự),1,
19,5,50003,1000,s==29|Đại tướng quân ấn (Sinh Mệnh),1,
20,5,50004,200,s==26|Đại tướng quân ấn (Tốc Độ),1,
21,6,60001,7000,s==28|Kiếm Hùng Kim Ấn (Công Kích),,
22,6,60002,1400,s==28|Kiếm Hùng Kim Ấn (Phòng Ngự),,
23,6,60003,3500,s==28|Kiếm Hùng Kim Ấn (Sinh Mệnh),,
24,6,60004,1400,s==25|Kiếm Hùng Kim Ấn (Tốc Độ),,
25,6,60005,1000,s==36|Hiêu hùng kim ấn (Công Kích hoàn mỹ),1,
26,6,60006,200,s==36|Hiêu hùng kim ấn (Phòng Ngự hoàn mỹ),1,
27,6,60007,500,s==36|Hiêu hùng kim ấn (Sinh Mệnh hoàn mỹ),1,
28,6,60008,200,s==33|Hiêu hùng kim ấn (Tốc Độ hoàn mỹ),1,
29,7,70001,1000,s==28|Tỷ lệ thuộc tính (Công Kích),1,
30,7,70002,1000,s==28|Tỷ lệ thuộc tính (Phòng Ngự),1,
31,7,70003,1000,s==30|Tỷ lệ thuộc tính (Miễn Thương),1,
32,7,70004,500,s==27|Tỷ lệ thuộc tính (Bạo Kích),1,
33,7,70005,500,s==28|Tỷ lệ thuộc tính (Kháng Bạo),1,
34,7,70006,100,s==29|Tỷ lệ thuộc tính (Bạo Thương),1,
35,7,70007,200,s==26|Tỷ lệ thuộc tính ( Thương),1,
36,7,70008,1000,s==28|Tỷ lệ thuộc tính (Sinh Mệnh),1,
37,7,70009,500,s==27|Tỷ lệ thuộc tính (Nhẫn Nại),1,
38,6,60009,7000,s==34|Hiêu hùng kim ấn (Công Kích cấp 2),,
39,6,60010,1400,s==34|Hiêu hùng kim ấn (Phòng Ngự cấp 2),,
40,6,60011,3500,s==34|Hiêu hùng kim ấn (Sinh Mệnh cấp 2),,
41,6,60012,1400,s==31|Hiêu hùng kim ấn (Tốc Độ cấp 2),,
42,6,60013,7000,s==34|Hiêu hùng kim ấn (Công Kích cấp 3),,
43,6,60014,1400,s==34|Hiêu hùng kim ấn (Phòng Ngự cấp 3),,
44,6,60015,3500,s==34|Hiêu hùng kim ấn (Sinh Mệnh cấp 3),,
45,6,60016,1400,s==31|Hiêu hùng kim ấn (Tốc Độ cấp 3),,
46,6,60017,7000,s==34|Hiêu hùng kim ấn (Công Kích cấp 4),,
47,6,60018,1400,s==34|Hiêu hùng kim ấn (Phòng Ngự cấp 4),,
48,6,60019,3500,s==34|Hiêu hùng kim ấn (Sinh Mệnh cấp 4),,
49,6,60020,1400,s==31|Hiêu hùng kim ấn (Tốc Độ cấp 4),,
