id,name,power,showType,isRate,icon,lv,baseSkill,type,effects%1,effects%2,effects%3,effects%4,effects%5,lastId,nextId,learnItems-type-1,learnItems-id-1,learnItems-value-1,upItems-type-1,upItems-id-1,upItems-value-1,upItems-type-2,upItems-id-2,upItems-value-2,forgetItems-type-1,forgetItems-id-1,forgetItems-value-1,enableCustomized,
4101,s==4|初级迅捷,600,1,,4101,1,4101,3,410101,410102,,,,,4201,2,1301,1,2,1301,3,2,1006,10000,1,9,100,,
4102,s==4|初级物追,600,1,,4102,1,4102,3,410201,,,,,,4202,2,1302,1,2,1302,3,2,1006,10000,1,9,100,,
4103,s==4|初级法追,600,1,,4103,1,4103,3,410301,,,,,,4203,2,1303,1,2,1303,3,2,1006,10000,1,9,100,,
4104,s==4|初级法攻,600,2,,4104,1,4104,3,410401,410402,,,,,4204,2,1304,1,2,1304,3,2,1006,10000,1,9,100,,
4105,s==4|初级物攻,600,2,,4105,1,4105,3,410501,410502,,,,,4205,2,1305,1,2,1305,3,2,1006,10000,1,9,100,,
4106,s==4|初级追杀,600,1,,4106,1,4106,3,410601,,,,,,4206,2,1306,1,2,1306,3,2,1006,10000,1,9,100,,
4107,s==4|初级暴追,600,1,,4107,1,4107,3,410701,,,,,,4207,2,1307,1,2,1307,3,2,1006,10000,1,9,100,,
4108,s==4|初级致命,600,1,,4108,1,4108,3,410801,,,,,,4208,2,1308,1,2,1308,3,2,1006,10000,1,9,100,,
4109,s==4|初级必杀,600,1,,4109,1,4109,3,410901,,,,,,4209,2,1309,1,2,1309,3,2,1006,10000,1,9,100,,
4110,s==4|初级底力,600,1,,4110,1,4110,3,411001,,,,,,4210,2,1310,1,2,1310,3,2,1006,10000,1,9,100,,
4111,s==4|初级遁走,600,1,,4111,1,4111,3,411101,,,,,,4211,2,1311,1,2,1311,3,2,1006,10000,1,9,100,,
4112,s==4|初级雪恨,600,1,,4112,1,4112,3,411201,,,,,,4212,2,1312,1,2,1312,3,2,1006,10000,1,9,100,,
4113,s==4|初级降疗,600,1,,4113,1,4113,3,411301,,,,,,4213,2,1313,1,2,1313,3,2,1006,10000,1,9,100,,
4114,s==4|初级完杀,600,1,,4114,1,4114,3,411401,411402,,,,,4214,2,1314,1,2,1314,3,2,1006,10000,1,9,100,,
