id,show,type,moreAward,title,desc,item-type-1,item-id-1,item-value-1,item-type-2,item-id-2,item-value-2,item-type-3,item-id-3,item-value-3,item-type-4,item-id-4,item-value-4,item-type-5,item-id-5,item-value-5,item-type-6,item-id-6,item-value-6,item-type-7,item-id-7,item-value-7,armatureid,armname,armpoint,
1496,,,,s==6|招募周卡奖励,s==33|亲爱的主公:<br/>这是您在购买招募周卡获得的每日奖励，请查收！,2,1003,1,2,1003,1,2,1003,1,2,1003,1,2,1003,1,2,1003,1,2,1003,1,,,,
1497,,,,s==6|聚贤周卡奖励,s==32|亲爱的主公:<br/>这是您购买聚贤周卡获得的每日奖励，请查收！,2,1004,1,2,1004,1,2,1004,1,2,1004,1,2,1004,1,2,1004,1,2,1004,1,,,,
1498,,,,s==8|高级材料周卡奖励,s==34|亲爱的主公:<br/>这是您购买高级材料周卡获得的每日奖励，请查收！,2,1519,1,2,1519,1,2,1519,1,2,1519,1,2,1519,1,2,1519,1,2,1519,1,,,,
2124,,,,s==4|元宝周卡,s==36|亲爱的主公:<br/>这是您购买12元元宝周卡未领取的每日奖励，请查收！,1,9,178,1,9,228,1,9,278,1,9,328,1,9,378,1,9,428,1,9,478,,,,
2125,,,,s==4|元宝周卡,s==36|亲爱的主公:<br/>这是您购买68元元宝周卡未领取的每日奖励，请查收！,1,9,1288,1,9,1488,1,9,1688,1,9,1888,1,9,2088,1,9,2288,1,9,2488,,,,
5161,1,1,,s==4|铜钱周卡,s==36|亲爱的主公:<br/>这是您购买30元铜钱周卡未领取的每日奖励，请查收！,1,8,10000000,1,8,4500000,1,8,6500000,1,8,8000000,1,8,9000000,1,8,10000000,1,8,12000000,,,,
5162,1,1,,s==4|铜钱周卡,s==36|亲爱的主公:<br/>这是您购买98元铜钱周卡未领取的每日奖励，请查收！,1,8,35000000,1,8,15000000,1,8,20000000,1,8,25000000,1,8,30000000,1,8,35000000,1,8,40000000,,,,
5163,1,2,,s==5|突破石周卡,s==37|亲爱的主公:<br/>这是您购买30元突破石周卡未领取的每日奖励，请查收！,2,1001,1000,2,1001,450,2,1001,650,2,1001,800,2,1001,900,2,1001,1000,2,1001,1200,,,,
5164,1,2,,s==5|突破石周卡,s==37|亲爱的主公:<br/>这是您购买98元突破石周卡未领取的每日奖励，请查收！,2,1001,3500,2,1001,1500,2,1001,2000,2,1001,2500,2,1001,3000,2,1001,3500,2,1001,4000,,,,
5165,1,3,,s==4|经验周卡,s==36|亲爱的主公:<br/>这是您购买30元经验周卡未领取的每日奖励，请查收！,1,10,2000000,1,10,900000,1,10,1300000,1,10,1600000,1,10,1800000,1,10,2000000,1,10,2400000,,,,
5166,1,3,,s==4|经验周卡,s==36|亲爱的主公:<br/>这是您购买98元经验周卡未领取的每日奖励，请查收！,1,10,7000000,1,10,3000000,1,10,4000000,1,10,5000000,1,10,6000000,1,10,7000000,1,10,8000000,,,,
6681,,,1,s==4|元宝周卡,s==35|亲爱的主公:<br/>这是您购买68元元宝周卡获得的每日奖励，请查收！,1,9,680,1,9,300,1,9,300,1,9,300,1,9,300,1,9,300,1,9,680,,,,
6682,,,1,s==4|元宝周卡,s==36|亲爱的主公:<br/>这是您购买128元元宝周卡获得的每日奖励，请查收！,1,9,1280,1,9,500,1,9,500,1,9,888,1,9,500,1,9,500,1,9,1280,,,,
