id,min,max,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,items-type-4,items-id-4,items-value-4,items-type-5,items-id-5,items-value-5,
1,1,499999,1,68,100,2,1001,200,,,,,,,,,,
2,500000,999999,1,68,100,2,1001,200,,,,,,,,,,
3,1000000,1499999,1,68,100,2,1001,200,,,,,,,,,,
4,1500000,1999999,1,68,100,2,1001,200,,,,,,,,,,
5,2000000,2499999,1,68,100,2,1001,200,,,,,,,,,,
6,2500000,2999999,1,68,100,2,1001,200,,,,,,,,,,
7,3000000,3499999,1,68,100,2,1001,200,,,,,,,,,,
8,3500000,3999999,1,68,100,2,1001,200,,,,,,,,,,
9,4000000,4499999,1,68,100,2,1001,200,,,,,,,,,,
10,4500000,5499999,1,68,100,2,1001,200,,,,,,,,,,
11,5500000,6499999,1,68,100,2,1001,200,,,,,,,,,,
12,6500000,7499999,1,68,100,2,1001,200,,,,,,,,,,
13,7500000,8499999,1,68,100,2,1001,200,,,,,,,,,,
14,8500000,9499999,1,68,100,2,1001,200,,,,,,,,,,
15,9500000,0,1,68,100,2,1001,200,,,,,,,,,,
