id,zoneType,crossType,Round,winNum,addPoint,
1,1,1,1,1,500,
2,1,1,1,0,0,
3,1,1,2,1,500,
4,1,1,2,0,0,
5,1,1,3,1,500,
6,1,1,3,0,0,
7,1,1,4,1,500,
8,1,1,4,0,0,
9,1,1,5,1,500,
10,1,1,5,0,0,
11,1,1,6,1,500,
12,1,1,6,0,0,
13,1,2,1,1,500,
14,1,2,1,0,0,
15,1,2,2,1,500,
16,1,2,2,0,0,
17,1,2,3,1,500,
18,1,2,3,0,0,
19,1,2,4,1,500,
20,1,2,4,0,0,
21,1,2,5,1,500,
22,1,2,5,0,0,
23,1,2,6,1,500,
24,1,2,6,0,0,
25,2,1,1,1,4000,
26,2,1,1,0,0,
27,2,1,2,1,4000,
28,2,1,2,0,0,
29,2,1,3,1,4000,
30,2,1,3,0,0,
31,2,1,4,1,4000,
32,2,1,4,0,0,
33,2,1,5,1,4000,
34,2,1,5,0,0,
35,2,1,6,1,4000,
36,2,1,6,0,0,
37,2,2,1,1,4000,
38,2,2,1,0,0,
39,2,2,2,1,4000,
40,2,2,2,0,0,
41,2,2,3,1,4000,
42,2,2,3,0,0,
43,2,2,4,1,4000,
44,2,2,4,0,0,
45,2,2,5,1,4000,
46,2,2,5,0,0,
47,2,2,6,1,4000,
48,2,2,6,0,0,
