id,type,name,quality,itemType,itemId,value,season,open,armatureId,pro-type-1,pro-way-1,pro-value-1,pro-type-2,pro-way-2,pro-value-2,pro-type-3,pro-way-3,pro-value-3,pro-type-4,pro-way-4,pro-value-4,limitPro-type-1,limitPro-way-1,limitPro-value-1,limitPro-type-2,limitPro-way-2,limitPro-value-2,
1,1,s==5|子鼠·强者,4,2,6794,1,1,0,210001,1,1,100,,,,,,,,,,1,1,100,2,1,100,
2,1,s==5|子鼠·高手,5,2,6795,1,1,0,210002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
3,1,s==5|子鼠·豪雄,5,2,6796,1,1,0,210003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
4,1,s==5|子鼠·英杰,6,2,6797,1,1,0,210004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
5,1,s==5|子鼠·主宰,7,2,6798,1,1,0,210005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
6,2,s==5|丑牛·强者,4,2,6799,1,2,0,211001,1,1,100,,,,,,,,,,1,1,100,2,1,100,
7,2,s==5|丑牛·高手,5,2,6800,1,2,0,211002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
8,2,s==5|丑牛·豪雄,5,2,6801,1,2,0,211003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
9,2,s==5|丑牛·英杰,6,2,6802,1,2,0,211004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
10,2,s==5|丑牛·主宰,7,2,6803,1,2,0,211005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
11,3,s==5|寅虎·强者,4,2,6804,1,3,0,212001,1,1,100,,,,,,,,,,1,1,100,2,1,100,
12,3,s==5|寅虎·高手,5,2,6805,1,3,0,212002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
13,3,s==5|寅虎·豪雄,5,2,6806,1,3,0,212003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
14,3,s==5|寅虎·英杰,6,2,6807,1,3,0,212004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
15,3,s==5|寅虎·主宰,7,2,6808,1,3,0,212005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
16,4,s==5|卯兔·强者,4,2,6809,1,4,0,213001,1,1,100,,,,,,,,,,1,1,100,2,1,100,
17,4,s==5|卯兔·高手,5,2,6810,1,4,0,213002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
18,4,s==5|卯兔·豪雄,5,2,6811,1,4,0,213003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
19,4,s==5|卯兔·英杰,6,2,6812,1,4,0,213004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
20,4,s==5|卯兔·主宰,7,2,6813,1,4,0,213005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
21,5,s==5|辰龙·强者,4,2,6814,1,5,0,214001,1,1,100,,,,,,,,,,1,1,100,2,1,100,
22,5,s==5|辰龙·高手,5,2,6815,1,5,0,214002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
23,5,s==5|辰龙·豪雄,5,2,6816,1,5,0,214003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
24,5,s==5|辰龙·英杰,6,2,6817,1,5,0,214004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
25,5,s==5|辰龙·主宰,7,2,6818,1,5,0,214005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
26,6,s==5|巳蛇·强者,4,2,6819,1,6,0,215001,1,1,100,,,,,,,,,,1,1,100,2,1,100,
27,6,s==5|巳蛇·高手,5,2,6820,1,6,0,215002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
28,6,s==5|巳蛇·豪雄,5,2,6821,1,6,0,215003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
29,6,s==5|巳蛇·英杰,6,2,6822,1,6,0,215004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
30,6,s==5|巳蛇·主宰,7,2,6823,1,6,0,215005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
31,7,s==5|午马·强者,4,2,6824,1,7,0,216001,1,1,100,,,,,,,,,,1,1,100,2,1,100,
32,7,s==5|午马·高手,5,2,6825,1,7,0,216002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
33,7,s==5|午马·豪雄,5,2,6826,1,7,0,216003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
34,7,s==5|午马·英杰,6,2,6827,1,7,0,216004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
35,7,s==5|午马·主宰,7,2,6828,1,7,0,216005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
36,8,s==5|未羊·强者,4,2,6829,1,8,0,217001,1,1,100,,,,,,,,,,1,1,100,2,1,100,
37,8,s==5|未羊·高手,5,2,6830,1,8,0,217002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
38,8,s==5|未羊·豪雄,5,2,6831,1,8,0,217003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
39,8,s==5|未羊·英杰,6,2,6832,1,8,0,217004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
40,8,s==5|未羊·主宰,7,2,6833,1,8,0,217005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
41,9,s==5|申猴·强者,4,2,6834,1,9,0,218001,1,1,100,,,,,,,,,,1,1,100,2,1,100,
42,9,s==5|申猴·高手,5,2,6835,1,9,0,218002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
43,9,s==5|申猴·豪雄,5,2,6836,1,9,0,218003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
44,9,s==5|申猴·英杰,6,2,6837,1,9,0,218004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
45,9,s==5|申猴·主宰,7,2,6838,1,9,0,218005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
46,10,s==5|酉鸡·强者,4,2,6839,1,10,0,219001,1,1,100,,,,,,,,,,1,1,100,2,1,100,
47,10,s==5|酉鸡·高手,5,2,6840,1,10,0,219002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
48,10,s==5|酉鸡·豪雄,5,2,6841,1,10,0,219003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
49,10,s==5|酉鸡·英杰,6,2,6842,1,10,0,219004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
50,10,s==5|酉鸡·主宰,7,2,6843,1,10,0,219005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
51,11,s==5|戌狗·强者,4,2,6844,1,11,0,219006,1,1,100,,,,,,,,,,1,1,100,2,1,100,
52,11,s==5|戌狗·高手,5,2,6845,1,11,0,219007,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
53,11,s==5|戌狗·豪雄,5,2,6846,1,11,0,219008,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
54,11,s==5|戌狗·英杰,6,2,6847,1,11,0,219009,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
55,11,s==5|戌狗·主宰,7,2,6848,1,11,0,219010,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
56,12,s==5|亥猪·强者,4,2,6849,1,12,0,219011,1,1,100,,,,,,,,,,1,1,100,2,1,100,
57,12,s==5|亥猪·高手,5,2,6850,1,12,0,219012,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
58,12,s==5|亥猪·豪雄,5,2,6851,1,12,0,219013,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
59,12,s==5|亥猪·英杰,6,2,6852,1,12,0,219014,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
60,12,s==5|亥猪·主宰,7,2,6853,1,12,0,219015,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
61,13,s==5|白虎·强者,4,2,8839,1,13,0,240001,1,1,100,,,,,,,,,,1,1,100,2,1,100,
62,13,s==5|白虎·高手,5,2,8840,1,13,0,240002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
63,13,s==5|白虎·豪雄,5,2,8841,1,13,0,240003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
64,13,s==5|白虎·英杰,6,2,8842,1,13,0,240004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
65,13,s==5|白虎·主宰,7,2,8843,1,13,0,240005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
66,14,s==5|玄武·强者,4,2,8844,1,14,0,240006,1,1,100,,,,,,,,,,1,1,100,2,1,100,
67,14,s==5|玄武·高手,5,2,8845,1,14,0,240007,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
68,14,s==5|玄武·豪雄,5,2,8846,1,14,0,240008,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
69,14,s==5|玄武·英杰,6,2,8847,1,14,0,240009,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
70,14,s==5|玄武·主宰,7,2,8848,1,14,0,240010,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
71,15,s==5|辟邪·强者,4,2,8849,1,15,0,240011,1,1,100,,,,,,,,,,1,1,100,2,1,100,
72,15,s==5|辟邪·高手,5,2,8850,1,15,0,240012,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
73,15,s==5|辟邪·豪雄,5,2,8851,1,15,0,240013,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
74,15,s==5|辟邪·英杰,6,2,8852,1,15,0,240014,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
75,15,s==5|辟邪·主宰,7,2,8853,1,15,0,240015,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
76,16,s==5|饕餮·强者,4,2,8858,1,16,0,240016,1,1,100,,,,,,,,,,1,1,100,2,1,100,
77,16,s==5|饕餮·高手,5,2,8859,1,16,0,240017,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
78,16,s==5|饕餮·豪雄,5,2,8860,1,16,0,240018,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
79,16,s==5|饕餮·英杰,6,2,8861,1,16,0,240019,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
80,16,s==5|饕餮·主宰,7,2,8862,1,16,0,240020,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
81,17,s==5|夔牛·强者,4,2,8867,1,17,0,240021,1,1,100,,,,,,,,,,1,1,100,2,1,100,
82,17,s==5|夔牛·高手,5,2,8868,1,17,0,240022,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
83,17,s==5|夔牛·豪雄,5,2,8869,1,17,0,240023,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
84,17,s==5|夔牛·英杰,6,2,8870,1,17,0,240024,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
85,17,s==5|夔牛·主宰,7,2,8871,1,17,0,240025,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
86,18,s==5|天狐·强者,4,2,8901,1,18,0,240026,1,1,100,,,,,,,,,,1,1,100,2,1,100,
87,18,s==5|天狐·高手,5,2,8902,1,18,0,240027,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
88,18,s==5|天狐·豪雄,5,2,8903,1,18,0,240028,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
89,18,s==5|天狐·英杰,6,2,8904,1,18,0,240029,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
90,18,s==5|天狐·主宰,7,2,8905,1,18,0,240030,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
91,19,s==5|麒麟·强者,4,2,8906,1,19,0,240031,1,1,100,,,,,,,,,,1,1,100,2,1,100,
92,19,s==5|麒麟·高手,5,2,8907,1,19,0,240032,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
93,19,s==5|麒麟·豪雄,5,2,8908,1,19,0,240033,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
94,19,s==5|麒麟·英杰,6,2,8909,1,19,0,240034,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
95,19,s==5|麒麟·主宰,7,2,8910,1,19,0,240035,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
96,20,s==5|青龙·强者,4,2,8911,1,20,0,240041,1,1,100,,,,,,,,,,1,1,100,2,1,100,
97,20,s==5|青龙·高手,5,2,8912,1,20,0,240042,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
98,20,s==5|青龙·豪雄,5,2,8913,1,20,0,240043,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
99,20,s==5|青龙·英杰,6,2,8914,1,20,0,240044,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
100,20,s==5|青龙·主宰,7,2,8915,1,20,0,240045,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
101,21,s==5|王蛇·强者,4,2,8916,1,21,0,240046,1,1,100,,,,,,,,,,1,1,100,2,1,100,
102,21,s==5|王蛇·高手,5,2,8917,1,21,0,240047,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
103,21,s==5|王蛇·豪雄,5,2,8918,1,21,0,240048,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
104,21,s==5|王蛇·英杰,6,2,8919,1,21,0,240049,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
105,21,s==5|王蛇·主宰,7,2,8920,1,21,0,240050,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
106,22,s==5|貔貅·强者,4,2,8921,1,22,0,240051,1,1,100,,,,,,,,,,1,1,100,2,1,100,
107,22,s==5|貔貅·高手,5,2,8922,1,22,0,240052,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
108,22,s==5|貔貅·豪雄,5,2,8923,1,22,0,240053,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
109,22,s==5|貔貅·英杰,6,2,8924,1,22,0,240054,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
110,22,s==5|貔貅·主宰,7,2,8925,1,22,0,240055,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
111,23,s==5|白泽·强者,4,2,8932,1,23,0,240056,1,1,100,,,,,,,,,,1,1,100,2,1,100,
112,23,s==5|白泽·高手,5,2,8933,1,23,0,240057,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
113,23,s==5|白泽·豪雄,5,2,8934,1,23,0,240058,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
114,23,s==5|白泽·英杰,6,2,8935,1,23,0,240059,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
115,23,s==5|白泽·主宰,7,2,8936,1,23,0,240060,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
116,24,s==5|凤凰·强者,4,2,8937,1,24,1,240061,1,1,100,0,0,0,,,,,,,1,1,100,2,1,100,
117,24,s==5|凤凰·高手,5,2,8938,1,24,1,240062,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
118,24,s==5|凤凰·豪雄,5,2,8939,1,24,1,240063,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
119,24,s==5|凤凰·英杰,6,2,8940,1,24,1,240064,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
120,24,s==5|凤凰·主宰,7,2,8941,1,24,1,240065,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
121,25,s==5|亥猪·强者,4,2,8942,1,25,1,219011,1,1,100,0,0,0,,,,,,,1,1,100,2,1,100,
122,25,s==5|亥猪·高手,5,2,8943,1,25,1,219012,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
123,25,s==5|亥猪·豪雄,5,2,8944,1,25,1,219013,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
124,25,s==5|亥猪·英杰,6,2,8945,1,25,1,219014,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
125,25,s==5|亥猪·主宰,7,2,8946,1,25,1,219015,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
126,26,s==5|白虎·强者,4,2,8947,1,26,1,240001,1,1,100,0,0,0,,,,,,,1,1,100,2,1,100,
127,26,s==5|白虎·高手,5,2,8948,1,26,1,240002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
128,26,s==5|白虎·豪雄,5,2,8949,1,26,1,240003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
129,26,s==5|白虎·英杰,6,2,8950,1,26,1,240004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
130,26,s==5|白虎·主宰,7,2,8951,1,26,1,240005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
131,27,s==5|子鼠·强者,4,2,8952,1,27,1,210001,1,1,100,0,0,0,,,,,,,1,1,100,2,1,100,
132,27,s==5|子鼠·高手,5,2,8953,1,27,1,210002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
133,27,s==5|子鼠·豪雄,5,2,8954,1,27,1,210003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
134,27,s==5|子鼠·英杰,6,2,8955,1,27,1,210004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
135,27,s==5|子鼠·主宰,7,2,8956,1,27,1,210005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
136,28,s==5|丑牛·强者,4,2,8957,1,28,1,211001,1,1,100,0,0,0,,,,,,,1,1,100,2,1,100,
137,28,s==5|丑牛·高手,5,2,8958,1,28,1,211002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
138,28,s==5|丑牛·豪雄,5,2,8959,1,28,1,211003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
139,28,s==5|丑牛·英杰,6,2,8960,1,28,1,211004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
140,28,s==5|丑牛·主宰,7,2,8961,1,28,1,211005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
141,29,s==5|寅虎·强者,4,2,8962,1,29,1,212001,1,1,100,0,0,0,,,,,,,1,1,100,2,1,100,
142,29,s==5|寅虎·高手,5,2,8963,1,29,1,212002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
143,29,s==5|寅虎·豪雄,5,2,8964,1,29,1,212003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
144,29,s==5|寅虎·英杰,6,2,8965,1,29,1,212004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
145,29,s==5|寅虎·主宰,7,2,8966,1,29,1,212005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
146,30,s==5|卯兔·强者,4,2,8967,1,30,1,213001,1,1,100,0,0,0,,,,,,,1,1,100,2,1,100,
147,30,s==5|卯兔·高手,5,2,8968,1,30,1,213002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
148,30,s==5|卯兔·豪雄,5,2,8969,1,30,1,213003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
149,30,s==5|卯兔·英杰,6,2,8970,1,30,1,213004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
150,30,s==5|卯兔·主宰,7,2,8971,1,30,1,213005,1,1,250,2,1,250,,,,,,,1,1,500,2,1,500,
151,31,s==5|辰龙·强者,4,2,8972,1,31,1,214001,1,1,100,0,0,0,,,,,,,1,1,100,2,1,100,
152,31,s==5|辰龙·高手,5,2,8973,1,31,1,214002,1,1,100,2,1,100,,,,,,,1,1,200,2,1,200,
153,31,s==5|辰龙·豪雄,5,2,8974,1,31,1,214003,1,1,150,2,1,150,,,,,,,1,1,300,2,1,300,
154,31,s==5|辰龙·英杰,6,2,8975,1,31,1,214004,1,1,200,2,1,200,,,,,,,1,1,400,2,1,400,
