id,stageNum,rechargeGear,rechargeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,name,
1001,1,1,30,2,1003,2,2,1006,600,1,9,300,s==2|白银,
1002,2,1,30,2,1003,2,2,1006,800,1,8,500000,s==2|黄金,
1003,3,1,30,2,1003,2,2,1006,1000,2,3008,25,s==2|颇梨,
1004,4,1,30,2,1003,2,2,1006,1200,1,8,1000000,s==2|砗磲,
1005,5,1,30,2,1003,2,2,1006,1400,2,3008,25,s==2|琉璃,
1006,6,1,30,2,1003,2,2,1006,1600,1,8,2000000,s==2|珍珠,
1007,7,1,30,2,1004,1,2,1105,2,2,3008,50,s==2|琥珀,
1008,1,2,128,2,1004,1,2,1006,1200,2,1014,1,s==2|白银,
1009,2,2,128,2,1004,1,2,1006,1600,1,10,500000,s==2|黄金,
1010,3,2,128,2,1004,1,2,1006,2000,1,9,980,s==2|颇梨,
1011,4,2,128,2,1004,1,2,1006,2400,1,10,1000000,s==2|砗磲,
1012,5,2,128,2,1004,1,2,1006,2800,2,1014,1,s==2|琉璃,
1013,6,2,128,2,1004,1,2,1006,3200,1,10,2000000,s==2|珍珠,
1014,7,2,128,2,1004,2,2,1105,4,1,9,980,s==2|琥珀,
