id,Layers,tier,reward-type-1,reward-id-1,reward-value-1,floorNum,weight,
1,s==4|Nhất,1,2,1007,3,3,3000,
2,s==4|Nhất,1,2,1001,500,3,3000,
3,s==4|Nhất,1,2,1006,500,3,3000,
4,s==3|Năm,5,2,30027,1,4,3000,
5,s==3|Năm,5,1,9,360,4,3000,
6,s==3|Năm,5,2,1012,18,4,3000,
7,s==4|Thập,10,2,19807,1,4,3000,
8,s==4|Thập,10,2,1004,1,4,3000,
9,s==4|Thập,10,2,1003,8,4,3000,
10,s==8|Nhị thập,20,2,1105,2,5,3000,
11,s==8|Nhị thập,20,2,1014,2,5,3000,
12,s==8|Nhị thập,20,2,1031,1,5,3000,
13,s==8|Tam thập,30,2,1030,10,5,3000,
14,s==8|Tam thập,30,2,1044,20,5,3000,
15,s==8|Tam thập,30,2,3008,50,5,3000,
